hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
19,2,0,24.34,22.14,30.32,23.16,326.62,45.45,3.08,1.0,24.54
19,2,0,23.14,24.34,22.14,30.32,163.32,39.09,4.61,1.0,24.58
19,2,0,24.54,23.14,24.34,22.14,138.19,40.79,2.82,1.0,33.9
20,2,0,24.58,24.54,23.14,24.34,129.26,45.51,4.18,1.0,23.12
20,2,0,33.9,24.58,24.54,23.14,217.58,54.73,5.73,1.0,25.1
20,2,0,23.12,33.9,24.58,24.54,155.51,36.73,2.84,1.0,23.9
20,2,0,25.1,23.12,33.9,24.58,371.11,21.88,2.98,1.0,23.48
21,2,0,23.9,25.1,23.12,33.9,265.3,43.26,5.33,1.0,24.44
21,2,0,23.48,23.9,25.1,23.12,288.54,60.16,4.2,1.0,23.64
21,2,0,24.44,23.48,23.9,25.1,254.83,37.65,3.53,1.0,25.62
21,2,0,23.64,24.44,23.48,23.9,308.75,56.0,3.24,1.0,27.28
22,2,0,25.62,23.64,24.44,23.48,269.66,32.19,5.82,1.0,24.72
22,2,0,27.28,25.62,23.64,24.44,283.4,27.02,5.08,1.0,24.12
22,2,0,24.72,27.28,25.62,23.64,325.89,38.57,4.67,1.0,24.5
22,2,0,24.12,24.72,27.28,25.62,133.88,53.19,3.69,1.0,25.56
23,2,0,24.5,24.12,24.72,27.28,274.79,29.68,2.51,1.0,24.22
23,2,0,25.56,24.5,24.12,24.72,312.59,40.4,3.76,1.0,26.82
23,2,0,24.22,25.56,24.5,24.12,335.89,39.8,2.98,1.0,59.44
23,2,0,26.82,24.22,25.56,24.5,304.8,46.16,5.86,1.0,39.1
0,3,0,59.44,26.82,24.22,25.56,229.04,54.29,6.37,0.0,20.46
0,3,0,39.1,59.44,26.82,24.22,305.77,33.21,10.92,0.0,26.06
0,3,0,20.46,39.1,59.44,26.82,115.76,27.79,2.57,0.0,22.36
1,3,0,26.06,20.46,39.1,59.44,164.06,32.77,5.08,1.0,25.76
1,3,0,22.36,26.06,20.46,39.1,313.13,29.9,4.82,1.0,45.26
1,3,0,25.76,22.36,26.06,20.46,292.02,37.36,3.69,1.0,25.06
1,3,0,45.26,25.76,22.36,26.06,259.01,53.33,5.55,1.0,56.94
2,3,0,25.06,45.26,25.76,22.36,94.2,25.72,3.51,0.0,24.8
2,3,0,56.94,25.06,45.26,25.76,368.02,8.79,6.18,1.0,23.84
2,3,0,24.8,56.94,25.06,45.26,236.2,51.29,4.94,1.0,26.32
2,3,0,23.84,24.8,56.94,25.06,322.98,41.36,3.53,1.0,23.4
3,3,0,26.32,23.84,24.8,56.94,62.39,7.02,4.96,0.0,26.64
3,3,0,23.4,26.32,23.84,24.8,308.56,53.76,2.57,0.0,24.4
3,3,0,26.64,23.4,26.32,23.84,311.7,42.63,4.33,0.0,28.28
3,3,0,24.4,26.64,23.4,26.32,321.44,42.39,3.1,0.0,28.6
4,3,0,28.28,24.4,26.64,23.4,322.57,42.43,7.78,0.0,24.86
4,3,0,28.6,28.28,24.4,26.64,289.47,5.32,7.61,0.0,28.14
4,3,0,24.86,28.6,28.28,24.4,100.44,30.08,2.78,0.0,27.5
4,3,0,28.14,24.86,28.6,28.28,349.36,33.87,6.57,0.0,23.92
5,3,0,27.5,28.14,24.86,28.6,284.99,40.52,7.29,0.0,23.8
5,3,0,23.92,27.5,28.14,24.86,149.82,26.96,2.73,0.0,23.5
5,3,0,23.8,23.92,27.5,28.14,247.33,31.58,4.84,0.0,24.8
5,3,0,23.5,23.8,23.92,27.5,154.54,19.36,3.43,0.0,30.22
6,3,0,24.8,23.5,23.8,23.92,112.78,31.52,3.82,0.0,25.34
6,3,0,30.22,24.8,23.5,23.8,133.1,3.79,8.6,0.0,25.1
6,3,0,25.34,30.22,24.8,23.5,79.81,10.72,4.43,0.0,26.16
6,3,0,25.1,25.34,30.22,24.8,296.4,6.06,5.35,0.0,21.36
7,3,0,26.16,25.1,25.34,30.22,146.85,9.93,3.94,0.0,24.44
7,3,0,21.36,26.16,25.1,25.34,245.72,37.31,4.33,0.0,31.2
7,3,0,24.44,21.36,26.16,25.1,253.36,42.44,4.02,0.0,59.16
7,3,0,31.2,24.44,21.36,26.16,133.82,23.11,7.19,0.0,27.92
8,3,0,59.16,31.2,24.44,21.36,44.9,6.13,34.69,0.0,26.14
8,3,0,27.92,59.16,31.2,24.44,293.46,38.37,4.43,0.0,41.8
8,3,0,26.14,27.92,59.16,31.2,121.95,37.79,4.8,0.0,39.98
8,3,0,41.8,26.14,27.92,59.16,128.32,44.4,10.69,0.0,25.96
9,3,0,39.98,41.8,26.14,27.92,144.73,38.93,6.04,0.0,25.48
9,3,0,25.96,39.98,41.8,26.14,306.37,34.46,4.61,0.0,27.48
9,3,0,25.48,25.96,39.98,41.8,100.01,20.02,2.65,0.0,23.16
9,3,0,27.48,25.48,25.96,39.98,111.17,22.39,3.67,0.0,32.42
10,3,0,23.16,27.48,25.48,25.96,230.95,38.46,3.12,0.0,28.86
10,3,0,32.42,23.16,27.48,25.48,315.08,30.66,8.96,0.0,24.56
10,3,0,28.86,32.42,23.16,27.48,220.09,27.31,9.78,0.0,24.22
10,3,0,24.56,28.86,32.42,23.16,336.54,18.95,4.08,0.0,27.18
